name,train_rmse,train_mae,test_rmse,test_mae,alpha,l1_ratio,max_iter,random_state
baseline,1.0320989303050059,0.8230596593502739,1.078622478460856,0.8537995883316398,-,-,-,-
LinearRegression,0.90589651794156,0.7049947241268241,1.0195556193283248,0.7943022449064489,-,-,-,-
RidgeRow,0.9058965179739694,0.704994847168015,1.01955546443933,0.7943024390608517,-,-,-,-
RidgeGrid,0.905896832505861,0.7050071692316863,1.0195402196753238,0.7943218286715463,100.0,-,-,-
LassoRow,1.0320989303050059,0.8230596593502739,1.078622478460856,0.8537995883316398,-,-,-,42
LassoGrid,0.9073974379341413,0.7063874344645422,1.015033030655608,0.7952836896828489,0.01,-,5000,42
ElasticNetRow,1.0320989303050059,0.8230596593502739,1.078622478460856,0.8537995883316398,-,-,-,42
ElasticNetGrid,0.9071379133576145,0.706161805906474,1.0153676469830926,0.7950791079493157,0.01,0.9,10000,42
