experiment_id,dataset,seed,mode_summary,optimizer,lr,momentum,weight_decay,epochs_trained,best_val_accuracy,best_val_loss
E1,EMNIST,42,baseline,Adam,0.001,0,0,20,0.8463652482269504,0.49104034456800905
E2,EMNIST,42,dropout,Adam,0.001,0,0,20,0.8418439716312057,0.49178862677398305
E3,EMNIST,42,batchnorm,Adam,0.001,0,0,20,0.8515957446808511,0.4554618512485044
E4,EMNIST,42,batchnorm + earlystopping,Adam,0.001,0,0,8,0.8479609929078015,0.4554618512485044
O1,EMNIST,42,big lr,Adam,0.1,0,0,6,0.022783687943262413,3.857261137928523
O2,EMNIST,42,small lr,Adam,1e-05,0,0,8,0.5564716312056738,1.7414937565512691
O3,EMNIST,42,SGD + momentum + weight_decay,SGD,0.001,0.9,0.0001,12,0.6737588652482269,1.1602396166916435
