name,train_rmse,train_mae,test_rmse,test_mae,reg,k,min_k,sim_options,n_factors,n_epochs,lr_all,reg_all,random_state,cache_ratings,reg_pu,reg_qi,biased
BiasBaseline,0.8244662286448134,0.637939019627765,1.0253377698839907,0.7984559176895126,[5.0],,,,,,,,,,,,
UserBased_KNNWithMeans,0.6754636598065993,0.5087347923249265,1.0784680247243155,0.8540101676106018,,[80],[3],"[{'name': 'pearson', 'user_based': True}]",,,,,,,,,
ItemBased_KNNWithMeans,0.6024885438472235,0.4587956102360297,1.0789719969999192,0.8543581221256246,,[80],[3],"[{'name': 'msd', 'user_based': False}]",,,,,,,,,
UserBased_KNNBaseline,0.6560617899197195,0.4977659799620639,1.0337818040003426,0.8028920226650639,,[80],[3],"[{'name': 'pearson', 'user_based': True}]",,,,,,,,,
ItemBased_KNNBaseline,0.5799843374581914,0.44627858212119326,1.0337896715191224,0.8027977794882252,,[80],[3],"[{'name': 'pearson', 'user_based': False}]",,,,,,,,,
SVD,0.692029170871083,0.5414693703519181,1.0263995532067753,0.797007028949862,,,,,[100],[50],[0.005],[0.1],[42],,,,
SVDpp,0.8091601969978307,0.6290796469764279,1.02935384673415,0.799814705578976,,,,,[50],[20],[0.005],[0.1],[42],[True],,,
NMF,0.7191006957480163,0.548742698293261,1.035802254226233,0.8135174633773409,,,,,[15],[50],,,[42],,[0.05],[0.1],[True]
